Date,2020-08-15T11:52:15.153

1,AlarmService1,true,4.0,0.0,3.0,0.0
1,AssistanceService,true,4.0

2,AlarmService1,true,4.0,3.0,3.0,3.0
2,AssistanceService,true,4.0

3,MedicalService2,true,14.0,6.0,14.0,6.0
3,AlarmService1,true,4.0,20.0,3.0,17.0
3,AssistanceService,true,18.0

4,MedicalService2,true,14.0,23.0,14.0,17.0
4,AlarmService1,true,4.0,37.0,3.0,17.0
4,AssistanceService,true,18.0

5,MedicalService2,true,14.0,40.0,14.0,17.0
5,DrugService,true,5.0,54.0,5.0,54.0
5,AssistanceService,true,19.0

6,MedicalService2,true,14.0,59.0,14.0,19.0
6,DrugService,true,5.0,73.0,5.0,19.0
6,AssistanceService,true,19.0

7,AlarmService1,true,4.0,78.0,3.0,41.0
7,AssistanceService,true,4.0

8,MedicalService2,true,14.0,81.0,14.0,22.0
8,DrugService,true,5.0,95.0,5.0,22.0
8,AssistanceService,true,19.0

9,AlarmService1,true,4.0,100.0,3.0,22.0
9,AssistanceService,true,4.0

10,AlarmService1,true,4.0,103.0,3.0,3.0
10,AssistanceService,true,4.0

11,AlarmService1,true,4.0,106.0,3.0,3.0
11,AssistanceService,true,4.0

12,MedicalService2,true,14.0,109.0,14.0,28.0
12,DrugService,true,5.0,123.0,5.0,28.0
12,AssistanceService,true,19.0

13,AlarmService1,true,4.0,128.0,3.0,22.0
13,AssistanceService,true,4.0

14,AlarmService1,true,4.0,131.0,3.0,3.0
14,AssistanceService,true,4.0

15,AlarmService1,true,4.0,134.0,3.0,3.0
15,AssistanceService,true,4.0

16,AlarmService1,true,4.0,137.0,3.0,3.0
16,AssistanceService,true,4.0

17,AlarmService1,true,4.0,140.0,3.0,3.0
17,AssistanceService,true,4.0

18,MedicalService2,true,14.0,143.0,14.0,34.0
18,AlarmService1,false, 0.0,157.0,0.0,17.0
18,AssistanceService,false,14.0

19,MedicalService2,true,14.0,157.0,14.0,14.0
19,AlarmService1,false, 0.0,171.0,0.0,14.0
19,AssistanceService,false,14.0

20,MedicalService2,true,14.0,171.0,14.0,14.0
20,AlarmService1,true,4.0,185.0,3.0,14.0
20,AssistanceService,true,18.0

21,MedicalService2,true,14.0,188.0,14.0,17.0
21,AlarmService1,true,4.0,202.0,3.0,17.0
21,AssistanceService,true,18.0

